"episode","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - _step","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - _step__MIN","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - _step__MAX","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - train_rewards","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - train_rewards__MIN","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - train_rewards__MAX"
"149","297","297","297","-4500.665471655704","-8175.093386926871","-1768.5332466780062"
"150","299","299","299","-5841.461851407035","-10334.626302405288","-772.3101734841954"
"151","301","301","301","-4759.254056957522","-10086.418054552438","-1241.2789831204577"
"152","303","303","303","-4468.249990450006","-9639.800490397176","-1054.4058101008657"
"153","305","305","305","-4095.0197294705404","-7608.5712170561055","-1061.8745000970562"
"154","307","307","307","-3664.6094962731886","-6332.187232054878","-1510.3953403409919"
"155","309","309","309","-4414.440417534805","-6857.182852870946","-703.7771582861715"
"156","311","311","311","-4040.7693480975854","-7819.579557009044","-1961.6359112248117"
"157","313","313","313","-4071.190893156684","-7817.851924061681","-1296.4286557964638"
"158","315","315","315","-4110.284037511769","-8787.364342423647","-666.4373744823412"
"159","317","317","317","-6960.932990527163","-12869.357226380971","-1041.9652069986703"
"160","319","319","319","-3296.581546290295","-6654.037228055441","-1222.4829799158572"
"161","321","321","321","-8338.051408765366","-27799.573292823807","-1018.7649146208047"
"162","323","323","323","-5714.348026773609","-19223.866392786415","-1309.2380165947125"
"163","325","325","325","-2522.8070785700957","-5164.084771373092","-602.1328173150517"
"164","327","327","327","-3212.2997027284327","-5090.3407345363885","-567.6979329620525"
"165","329","329","329","-2503.5655917516883","-4087.921617472558","-928.1550029392926"
"166","331","331","331","-2366.1918091006764","-5856.2495765681215","-551.3917199891191"
"167","333","333","333","-2057.46510503409","-4067.134609139483","-581.5359619214207"
"168","335","335","335","-2018.5114736904245","-3865.1403375074083","-536.0085184399337"
"169","337","337","337","-2437.1753371613254","-5814.008387299554","-888.979135583384"
"170","339","339","339","-3163.6743003829406","-8551.502199394961","-516.9257911435274"
"171","341","341","341","-4659.538804433074","-10107.295728313915","-335.1050082963765"
"172","343","343","343","-4393.932980441221","-13208.851105146685","-588.2957389360841"
"173","345","345","345","-3361.7609366111005","-4149.142427180618","-1029.7064214607826"
"174","347","347","347","-2916.382982433307","-5598.576759797315","-232.22391150276752"
"175","349","349","349","-3626.7853247082467","-6570.336704928149","-139.95631489001826"
"176","351","351","351","-3619.603665144203","-8304.598829058414","-403.13380301765545"
"177","353","353","353","-3128.963516327425","-5424.522305962973","-458.81107237136905"
"178","355","355","355","-3216.211770847092","-4907.203281191186","-304.3624075262146"
"179","357","357","357","-3062.9810091033332","-6918.750814201462","-419.3874313549594"
"180","359","359","359","-4287.1912476980815","-9401.447852345676","-280.67648420110265"
"181","361","361","361","-3718.7134558062303","-9479.192420132638","-192.41831682419703"
"182","363","363","363","-3191.7065836197344","-6295.338279989126","-676.9226374129929"
"183","365","365","365","-4157.346263929789","-8636.205950790969","-832.0375331690434"
"184","367","367","367","-8734.73856653842","-19959.94514274917","-1116.809501078319"
"185","369","369","369","-14666.125114749415","-59219.73838811192","-379.8577653713418"
"186","371","371","371","-5528.0752682979555","-15469.447147543113","-816.6863128476616"
"187","373","373","373","-3016.481358045602","-6675.354872599784","-1212.3616663803184"
"188","375","375","375","-8342.041085154426","-27421.38095420046","-1916.3188574672822"
"189","377","377","377","-4157.228012820349","-11360.756131024955","-1467.033476292519"
"190","379","379","379","-7158.251568128084","-25013.755621165245","-1013.3936526993205"
"191","381","381","381","-6861.9367982215945","-19526.651233851717","-1269.485482628865"
"192","383","383","383","-12341.285077764227","-46730.13314055713","-1352.4457946315301"
"193","385","385","385","-12385.011852309095","-52069.038405332765","-896.5640144536378"
"194","387","387","387","-11854.386798999418","-50862.87983092479","-875.7728886282838"
"195","389","389","389","-9018.656248961463","-39020.438263997275","-1064.9706654134395"
"196","391","391","391","-6885.698533146181","-27519.206863348845","-1247.6776191455665"
"197","393","393","393","-7460.094413505501","-26128.698331757936","-1402.5206417418258"
"198","395","395","395","-2485.5371357296226","-4945.428868025435","-1133.7031611695215"
"199","397","397","397","-2460.5730224002173","-5340.358625842734","-1077.2949005907249"
"200","399","399","399","-2109.902982942798","-3096.8443274648366","-1241.0160540712445"
"201","401","401","401","-3637.349513138429","-9484.687443962304","-1019.2181103678112"
"202","403","403","403","-2285.1934290839517","-4317.140990769898","-585.8071289010627"
"203","405","405","405","-2533.3695113499807","-5165.336340268575","-1277.4459991809995"
"204","407","407","407","-3827.14527390485","-5792.37470686438","-1537.7356297485162"
"205","409","409","409","-3476.4190829612294","-7390.938532620357","-913.4026191742887"
"206","411","411","411","-5702.752503161155","-11817.396025869435","-764.7934879941043"
"207","413","413","413","-5499.244642792823","-11858.695070446345","-992.3381049775495"
"208","415","415","415","-4663.812957437336","-9671.59190891113","-777.3746004467394"
"209","417","417","417","-4804.13237597055","-11820.175711583008","-501.1537368428101"
"210","419","419","419","-5380.275241000898","-16373.79453399695","-630.1775911524397"
"211","421","421","421","-6058.681567410665","-18672.552000221323","-789.784337881903"
"212","423","423","423","-5594.759822698228","-18673.79254131865","-566.2139110255164"
"213","425","425","425","-5818.476662614922","-17212.83172994425","-1148.8991813957782"
"214","427","427","427","-4743.604924256227","-14308.52016749517","-96.64100180970318"
"215","429","429","429","-3386.747842732414","-7577.634581686877","-463.71559617485053"
"216","431","431","431","-2053.310659284868","-4778.805248928904","-377.1270583010211"
"217","433","433","433","-2610.704324356627","-5169.853431042911","-408.34290544493916"
"218","435","435","435","-1902.5953234341473","-3346.948602921883","-493.0508924176446"
"219","437","437","437","-1426.7991926338448","-2668.198369133033","-151.6652892227525"
"220","439","439","439","-1353.2461797966257","-2269.7960559759285","-609.1394641428669"
"221","441","441","441","-1181.8572322473215","-1784.842932136727","-465.87707270105193"
"222","443","443","443","-1435.7570540289573","-2979.4467888415293","-402.87011820232567"
"223","445","445","445","-1379.2340698194516","-2369.7470351035354","-345.6064972251356"
"224","447","447","447","-1620.5121334476248","-2747.0676957723417","-627.7695630132063"
"225","449","449","449","-1615.0477199292136","-3535.160779507266","-581.0409987082005"
"226","451","451","451","-827.6196488354192","-1833.6063555668889","-325.5286743369768"
"227","453","453","453","-1544.00255462412","-2707.8903992568257","-513.5324837899011"
"228","455","455","455","-1508.9145124445772","-2992.066237932267","-319.0227217402796"
"229","457","457","457","-1772.4728590337604","-4123.362686819388","-454.8064793788422"
"230","459","459","459","-1970.0358979850796","-4121.803976089583","-658.2590920872975"
"231","461","461","461","-1915.4714924039777","-3922.348318821148","-484.75418050268974"
"232","463","463","463","-1571.3707551431555","-4237.150668336695","-434.14369752335534"
"233","465","465","465","-1396.6725023203157","-3512.386272153599","-264.68003902689156"
"234","467","467","467","-1787.7061450411427","-4285.068398583135","-417.63339018942986"
"235","469","469","469","-1497.3028381144825","-3721.083325995171","-446.30362794794013"
"236","471","471","471","-1828.0468388118534","-3323.7655931219806","-1057.4629521355735"
"237","473","473","473","-1795.2294921104847","-3428.537327337751","-803.0752322870223"
"238","475","475","475","-2042.1770231963121","-2941.118393203441","-1476.532735883114"
"239","477","477","477","-1907.3759235709258","-3511.5390639865172","-761.0370228622102"
"240","479","479","479","-2012.1010281703643","-3340.678577322833","-1331.462718657615"
"241","481","481","481","-1663.7848647535848","-2226.4464709466965","-782.8414470577408"
"242","483","483","483","-4699.908899543788","-15384.259503027291","-707.297763810488"
"243","485","485","485","-1774.9348587505337","-3917.6981331835927","-357.2500379504702"
"244","487","487","487","-1344.633391540738","-2140.808518035791","-830.1247611712882"
"245","489","489","489","-1880.5527234866654","-2993.2890639493257","-742.9213422343018"
"246","491","491","491","-1868.245646302977","-3419.3823645264274","-643.9822867503433"
"247","493","493","493","-1359.1141288017423","-2227.2928233127113","-547.3990004749281"
"248","495","495","495","-1623.5763736945657","-3352.7727062256295","-921.4635247456534"
"249","497","497","497","-1219.9966507203444","-1968.914875654328","-472.1938302517244"
"250","499","499","499","-1323.333873507296","-3323.536350010312","-475.736082227417"
"251","501","501","501","-1174.5364158703194","-2245.1343725972292","-562.0244386319383"
"252","503","503","503","-1233.8550070049569","-3097.804201540997","-421.7428680729139"
"253","505","505","505","-1240.8091058724035","-2296.328885330904","-243.13118954355113"
"254","507","507","507","-1465.0717545231848","-3006.327443998406","-277.43861372214803"
"255","509","509","509","-2379.6498954473327","-4281.211427984148","-841.6487292874759"
"256","511","511","511","-2426.361299263039","-4939.511577611557","-229.73894690976587"
"257","513","513","513","-1776.7177837154736","-3393.1652571824106","-548.5166692314739"
"258","515","515","515","-2504.699955736434","-6401.213844439404","-414.2784527766396"
"259","517","517","517","-2409.393033283142","-5559.912408817812","-476.70078112658973"
"260","519","519","519","-3067.8539980801825","-6283.949186151982","-718.4440848730486"
"261","521","521","521","-2634.5117005026973","-5748.695150057831","-165.28427631204357"
